time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-02-20T03:56:48.240Z,-11.6046,166.2386,64.78,4.9,mb,,62,6.55,0.67,us,us20008kus,2017-02-20T04:27:36.040Z,"107km SSE of Lata, Solomon Islands",earthquake,3.1,6.8,0.05,127,reviewed,us,us
2017-02-20T03:47:34.267Z,38.3848,-118.9077,8.8,0.8,ml,7,173.44,0.343,0.1272,nn,nn00579253,2017-02-20T18:04:09.350Z,"29km WSW of Hawthorne, Nevada",earthquake,,7.5,0,1,reviewed,nn,nn
2017-02-20T03:45:49.500Z,19.4736,-68.7421,76,3.5,Md,12,334.8,1.61337425,0.4,pr,pr17051000,2017-02-20T05:54:41.040Z,"63km NNE of Miches, Dominican Republic",earthquake,4.9,11.4,0,10,reviewed,pr,pr
2017-02-20T03:21:20.800Z,18.9768,-64.6884,7,2.7,Md,2,342,0.87136583,0.11,pr,pr17051002,2017-02-20T07:30:15.446Z,"62km N of Road Town, British Virgin Islands",earthquake,9.2,8.9,0,2,reviewed,pr,pr
2017-02-20T03:13:32.120Z,42.5352,13.2073,10.28,4,mb,,52,0.232,0.86,us,us20008kup,2017-02-20T08:11:46.442Z,"3km WNW of Montereale, Italy",earthquake,4.9,5.5,0.13,16,reviewed,us,us
2017-02-20T02:56:16.379Z,63.5981,-147.2848,0,1.3,ml,,,,0.8,ak,ak15311894,2017-02-20T03:11:36.773Z,"86km ENE of Cantwell, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-02-20T02:37:00.102Z,64.9066,-148.6021,22.7,0.4,ml,,,,0.45,ak,ak15313909,2017-02-20T10:54:20.329Z,"28km WNW of Ester, Alaska",earthquake,,0.4,,,reviewed,ak,ak
2017-02-20T02:35:14.610Z,38.8341675,-122.7856674,0.8,0.19,md,7,97,0.01111,0.02,nc,nc72765711,2017-02-20T02:51:04.595Z,"5km WNW of Cobb, California",earthquake,0.36,0.77,0.12,2,automatic,nc,nc
2017-02-20T02:34:35.000Z,18.8607,-68.6552,89,3.4,Md,11,190.8,0.66026173,0.33,pr,pr17051001,2017-02-20T05:12:57.484Z,"23km N of Otra Banda, Dominican Republic",earthquake,3.7,2.6,0,11,reviewed,pr,pr
2017-02-20T02:28:08.090Z,38.4038,-118.9109,8.7,1.1,ml,9,120.63,0.353,0.1913,nn,nn00579247,2017-02-20T15:50:59.713Z,"28km WSW of Hawthorne, Nevada",earthquake,,3,0.28,5,reviewed,nn,nn
2017-02-20T02:12:35.010Z,38.8364983,-122.7836685,1.31,1.36,md,16,72,0.005552,0.03,nc,nc72765706,2017-02-20T02:28:03.529Z,"5km WNW of Cobb, California",earthquake,0.22,0.35,0.2,6,automatic,nc,nc
2017-02-20T01:40:26.330Z,33.9741667,-117.1843333,0.44,1.14,ml,15,117,0.08549,0.22,ci,ci37586175,2017-02-20T01:44:07.544Z,"7km NE of Moreno Valley, CA",earthquake,0.93,31.61,0.282,25,automatic,ci,ci
2017-02-20T01:16:06.930Z,-42.7153,172.7402,17.71,4.5,mwr,,76,0.332,0.76,us,us20008kul,2017-02-20T03:37:44.040Z,"50km N of Amberley, New Zealand",earthquake,2.6,4.7,0.058,29,reviewed,us,us
2017-02-20T01:10:26.210Z,33.7863333,-115.7105,9.75,1.33,ml,20,100,0.2509,0.16,ci,ci37586167,2017-02-20T01:14:09.493Z,"30km WNW of Desert Center, CA",earthquake,0.43,1.13,0.171,23,automatic,ci,ci
2017-02-20T01:07:22.883Z,61.6921,-148.2236,1.3,1.1,ml,,,,0.37,ak,ak15311887,2017-02-20T01:16:07.694Z,"35km ESE of Sutton-Alpine, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-02-20T00:34:37.335Z,59.9584,-151.8527,72.9,1.4,ml,,,,0.36,ak,ak15311882,2017-02-20T00:46:01.146Z,"20km N of Anchor Point, Alaska",earthquake,,2.2,,,automatic,ak,ak
2017-02-20T00:34:01.922Z,64.9833,-147.3014,2.9,1.5,ml,,,,0.7,ak,ak15311879,2017-02-20T00:51:19.417Z,"23km NNE of Badger, Alaska",earthquake,,0.2,,,automatic,ak,ak
2017-02-20T00:22:38.552Z,60.0322,-152.7774,90.7,1.9,ml,,,,0.78,ak,ak15311872,2017-02-20T00:35:55.311Z,"50km S of Redoubt Volcano, Alaska",earthquake,,0.8,,,automatic,ak,ak
